event_id,event_title,event_sub_title,platform
KXTEMPNYCH-26MAR2817,nyc temperature on mar 28 2026 at 5pm edt,on mar 28 2026 at 5pm edt,kalshi
KXATPMATCH-26MAR29PINBLA,pinnington jones vs blanch,pinnington jones vs blanch mar 29,kalshi
KXATPSETWINNER-26MAR29IVABUD-2,ilya ivashka vs nicolai budkov kjaer set 2 winner,ilya ivashka vs nicolai budkov kjaer set 2 mar 29,kalshi
KXATPSETWINNER-26MAR29IVABUD-1,ilya ivashka vs nicolai budkov kjaer set 1 winner,ilya ivashka vs nicolai budkov kjaer set 1 mar 29,kalshi
KXATPSETWINNER-26MAR29ROCJOR-2,henrique rocha vs david jorda sanchis set 2 winner,henrique rocha vs david jorda sanchis set 2 mar 29,kalshi
KXATPSETWINNER-26MAR29TRUBAR-2,marco trungelliti vs hynek barton set 2 winner,marco trungelliti vs hynek barton set 2 mar 29,kalshi
KXATPSETWINNER-26MAR29ROCJOR-1,henrique rocha vs david jorda sanchis set 1 winner,henrique rocha vs david jorda sanchis set 1 mar 29,kalshi
KXATPSETWINNER-26MAR29TRUBAR-1,marco trungelliti vs hynek barton set 1 winner,marco trungelliti vs hynek barton set 1 mar 29,kalshi
KXATPSETWINNER-26MAR29LALECH-2,younes lalami laaroussi vs moez echargui set 2 winner,younes lalami laaroussi vs moez echargui set 2 mar 29,kalshi
KXATPSETWINNER-26MAR29HERHAR-2,pierre hugues herbert vs lloyd harris set 2 winner,pierre hugues herbert vs lloyd harris set 2 mar 29,kalshi
KXATPSETWINNER-26MAR29LALECH-1,younes lalami laaroussi vs moez echargui set 1 winner,younes lalami laaroussi vs moez echargui set 1 mar 29,kalshi
KXATPSETWINNER-26MAR29HERHAR-1,pierre hugues herbert vs lloyd harris set 1 winner,pierre hugues herbert vs lloyd harris set 1 mar 29,kalshi
KXATPSETWINNER-26MAR29LAJGRE-2,dusan lajovic vs hugo grenier set 2 winner,dusan lajovic vs hugo grenier set 2 mar 29,kalshi
KXATPSETWINNER-26MAR29JAMSAK-2,amine jamji vs rei sakamoto set 2 winner,amine jamji vs rei sakamoto set 2 mar 29,kalshi
KXATPSETWINNER-26MAR29LAJGRE-1,dusan lajovic vs hugo grenier set 1 winner,dusan lajovic vs hugo grenier set 1 mar 29,kalshi
KXATPSETWINNER-26MAR29JAMSAK-1,amine jamji vs rei sakamoto set 1 winner,amine jamji vs rei sakamoto set 1 mar 29,kalshi
KXATPSETWINNER-26MAR29PELSKA-2,andrea pellegrino vs timofey skatov set 2 winner,andrea pellegrino vs timofey skatov set 2 mar 29,kalshi
KXATPSETWINNER-26MAR29PELSKA-1,andrea pellegrino vs timofey skatov set 1 winner,andrea pellegrino vs timofey skatov set 1 mar 29,kalshi
KXNCAABBGAME-26MAR282000AUTACT,auburn vs alabama,aut vs act mar 28,kalshi
KXATPMATCH-26MAR29JAMSAK,jamji vs sakamoto,jamji vs sakamoto mar 29,kalshi
KXATPMATCH-26MAR29LALECH,lalami laaroussi vs echargui,lalami laaroussi vs echargui mar 29,kalshi
KXATPMATCH-26MAR29HERHAR,herbert vs harris,herbert vs harris mar 29,kalshi
KXATPMATCH-26MAR29ROCJOR,rocha vs jorda sanchis,rocha vs jorda sanchis mar 29,kalshi
KXATPMATCH-26MAR29LAJGRE,lajovic vs grenier,lajovic vs grenier mar 29,kalshi
KXATPMATCH-26MAR29PELSKA,pellegrino vs skatov,pellegrino vs skatov mar 29,kalshi
KXATPMATCH-26MAR29IVABUD,ivashka vs budkov kjaer,ivashka vs budkov kjaer mar 29,kalshi
KXATPMATCH-26MAR29TRUBAR,trungelliti vs barton,trungelliti vs barton mar 29,kalshi
KXMN2D-26,mn 02 democratic nominee,in 2026,kalshi
KXCS2MAP-26MAR29YNGAKA-2,esl challenger league europe cup 3 2026 yngods vs aka hero kajo map 2,map 2 yng vs aka mar 29,kalshi
KXCS2MAP-26MAR29YNGAKA-1,esl challenger league europe cup 3 2026 yngods vs aka hero kajo map 1,map 1 yng vs aka mar 29,kalshi
KXCS2TOTALMAPS-26MAR29YNGAKA,esl challenger league europe cup 3 2026 yngods vs aka hero kajo total maps,total maps yng vs aka mar 29,kalshi
KXCS2GAME-26MAR29YNGAKA,yngods vs aka hero kajo,yngods vs aka hero kajo mar 29,kalshi
KXBERNIEMENTION-26MAR28,what will bernie sanders say during his no kings rally,bernie sanders no kings rally on march 28th,kalshi
KXMLBHRR-26MAR281605MINBAL,minnesota vs baltimore hits runs rbis,min vs bal mar 28,kalshi
KXMLBTB-26MAR281605MINBAL,minnesota vs baltimore total bases,min vs bal mar 28,kalshi
KXMLBHIT-26MAR281605MINBAL,minnesota vs baltimore hits,min vs bal mar 28,kalshi
KXMLBHR-26MAR281605MINBAL,minnesota vs baltimore home runs,min vs bal mar 28,kalshi
KXNLGAME-26MAR311400GENHCL,gen ve servette vs hc lausanne,gen at hcl mar 31,kalshi
KXSHLGAME-26MAR301300ROGFAR,rogle bk vs f rjestad,rog at far mar 30,kalshi
KXSHLGAME-26MAR301300VAXBRY,v xj lakers vs brynas if,vax at bry mar 30,kalshi
KXKHLGAME-26MAR311230SKACSK,ska st petersburg vs cska moscow,ska at csk mar 31,kalshi
KXKHLGAME-26MAR311000SALAVT,salavat yulaev ufa vs avtomobilist yekaterinburg,sal at avt mar 31,kalshi
KXNHLFIRSTGOAL-26MAR28MTLNSH,mtl canadiens at nsh predators first goal,mtl vs nsh mar 28,kalshi
KXNHLPTS-26MAR28MTLNSH,mtl canadiens at nsh predators points,mtl at nsh mar 28,kalshi
KXNHLAST-26MAR28MTLNSH,mtl canadiens at nsh predators assists,mtl at nsh mar 28,kalshi
KXNHLFIRSTGOAL-26MAR28TORSTL,tor maple leafs at stl blues first goal,tor vs stl mar 28,kalshi
KXNHLGOAL-26MAR28MTLNSH,mtl canadiens at nsh predators player goals,mtl vs nsh mar 28,kalshi
KXNHLPTS-26MAR28TORSTL,tor maple leafs at stl blues points,tor at stl mar 28,kalshi
KXNHLAST-26MAR28TORSTL,tor maple leafs at stl blues assists,tor at stl mar 28,kalshi
KXNHLGOAL-26MAR28TORSTL,tor maple leafs at stl blues player goals,tor vs stl mar 28,kalshi
KXNHLFIRSTGOAL-26MAR28WPGCOL,wpg jets at col avalanche first goal,wpg vs col mar 28,kalshi
KXNHLPTS-26MAR28WPGCOL,wpg jets at col avalanche points,wpg at col mar 28,kalshi
KXNHLAST-26MAR28WPGCOL,wpg jets at col avalanche assists,wpg at col mar 28,kalshi
KXNHLGOAL-26MAR28WPGCOL,wpg jets at col avalanche player goals,wpg vs col mar 28,kalshi
KXVALORANTMAP-26MAR31SRADG-2,vcl north america stage 2 2026 shopify rebellion vs azure dragon gaming map 2,map 2 sr vs adg mar 31,kalshi
KXVALORANTMAP-26MAR31M80EGA-2,vcl north america stage 2 2026 m80 vs evil geniuses academy map 2,map 2 m80 vs ega mar 31,kalshi
KXVALORANTMAP-26MAR30PGSQOR-2,vcl north america stage 2 2026 pigeons vs qor map 2,map 2 pgs vs qor mar 30,kalshi
KXVALORANTMAP-26MAR30D1SLP-2,vcl north america stage 2 2026 division one vs sleepers map 2,map 2 d1 vs slp mar 30,kalshi
KXVALORANTMAP-26MAR31SRADG-1,vcl north america stage 2 2026 shopify rebellion vs azure dragon gaming map 1,map 1 sr vs adg mar 31,kalshi
KXVALORANTMAP-26MAR31NRGAYFP-2,vcl north america stage 2 2026 nrg academy vs yfp gaming map 2,map 2 nrga vs yfp mar 31,kalshi
KXVALORANTMAP-26MAR31M80EGA-1,vcl north america stage 2 2026 m80 vs evil geniuses academy map 1,map 1 m80 vs ega mar 31,kalshi
